author,date,text,rating,source
Ольга Ермаченко,24 мая 2024,"Были здесь на профориентационной экскурсии для школьников. Сказать, что нам понравилось-это не сказать ничего. Нас встретили, как самых дорогих гостей, провели бизнес-игру, подарили сувениры, показали офис и накормили от души. Спасибо всем, кто организовал нам этот праздник, а задействовано было много людей. Перед нами выступали и бывшие стажеры и директора отделов. Ни одного замечания не сделали детям. Это большая редкость на экскурсиях. Терпеливо выслушали все детские идеи и общались с детьми на равных и с уважением. Сужу о людях по их отношению к детям. Делаю вывод, что здесь работают хорошие люди и профессионалы своего дела. Спасибо большое!",5,yandex
Транс Х,11 декабря 2024,"С данной компанией работаем не первый год, представляют множество услуг, что очень важно для работы транспортной компании, удобные программные интерфейсы от отслеживания баланса, до предоставления отчетности. Компетентные грамотные сотрудники, готовые помочь решить любой вопрос. Очень рекомендуем данную компанию для сотрудничества!!!",5,yandex
Д,17 апреля 2024,"Надежная компания! Постоянно добавляются новые сервисы. Личный кабинет удобен и многофункционален. Количество дополнительных услуг (Мойки, шиномонтаж и т.д.) удовлетворяют практически все наши потребности. Хотелось бы в некоторых городах увеличить покрытие по услугам, мойка и шиномонтаж. Филиалы нашей компании находятся на всей территории РФ. Отдельная благодарность менеджеру клиентского отдела Ольге Булгаковой за оперативное решение все наших вопросов. Компания РУСБИЗНЕСАВТО.",4,yandex
Галина Мирошниченко,13 марта 2024,"ООО ДОРАВТОСТРОЙ выражает благодарность всему коллективу Компании ППР, за грамотную и квалифицированную работу. Особую благодарность нашему менеджеру Галушкиной Анне Станиславовне. Спасибо за работу! За индивидуальный подход и быстрое решение поставленных задач!. Низкий, Вам, поклон. И большого терпения!",5,yandex
П,28 октября 2024,Все очень удобно и приятно работать. Особо хочу отметить работу нашего менеджера Савичева Наталья Александровна всегда на связи и всегда помогает в любых вопросах.,5,yandex
"Это ""жжж"" неспроста (с)",23 мая,"Отвратительное отношение к клиентам. Оценка на Яндекс завышена ботами. Жаль, что связался с этой компанией. Деньги на счету, но пользоваться ими я не могу. А все вопросы к менеджеру только по рабочии дням до 17. До тех пор пока нет проблемы всё нормально, но в любой сложной ситуации контора отмораживается.",1,yandex
Кирилл Чечелев,3 февраля,"Благодаря ""динамической системе ценообразования"", заправлялись в 4 квартале 2024 года по цене стелла +7-10 руб. Хорошо вовремя заметили, больше не работаем.
Выводы делайте сами...",1,yandex
Анна Бородай,20 февраля 2024,"Хочу выразить огромную благодарность коллективу компании ППР. С данной компанией работаем уже 5й год. Все всегда четко, ясно и понятно. Широкая сеть АЗС, автомойки, оформление страховки, что очень удобно и экономит огромное кол-во времени. Отчетные документы всегда присылают в ЭДО. Спасибо старшему менеджеру Потеряйло Лилии за ее работу!",5,yandex
Галина Туршатова,2 ноября 2024,"Добрый день 
Наша группа компаний работает с ООО ППР работает давно
За время работы только положительные отзывы
Работаем с менеджером Якушевой Юлией, отличный сотрудник
Быстро реагирует на все запросы
Предлагает решения 
ООО ППР предлагает много интересных и полезных сервисов, всегда развивается в сторону клиента",5,yandex
Владимир Ш.,8 ноября 2024,Очень удобный сервис! Пользуемся с удовольствием . Спасибо менеджеру Лилии за такую оперативность и компетентность) Так приятно с вами работать!,5,yandex
Марина К.,12 февраля 2024,"ППР ВЕЗДЕХОД, показали себя как надёжный партнёр и я хочу выразить благодарность на этот счёт. 
ППР-это не только топливные карты и топливо, а еще страховка, шины и диски.
Отличные условия по страховке, своевременная поставка шин и дисков, адекватные цены на топливо (что не мало важно), отсрочка платежа.
Хорошее покрытие АЗС по всей России, партнеров ППР.
Самое главное, для водителя удобное приложение «LOCATOR» с легкостью можно найти нужные заправки по пути.
Большущее спасибо нашему менеджеру Тарасенко Олесе, за терпение и хорошие консультации, а также оперативную помощь в различных ситуациях. Приятно сотрудничать с квалифицированными специалистами своего дела, поставленные цели решаются в миг!!! На праздники, не когда не оставят без внимания, это всегда очень приятно!!!
Желаю Вам , каждый час в сутки заключать договор с такими компаниями как наша)))))
Спасибо Вам!!",5,yandex
"ООО ""Карат"" Челябинск",6 сентября 2024,"Плюсов-нет. Прошла неделя после заключения договора на поставку топливных карт, оплачена сумма, гораздо бОльшая, для возможности эти карты использовать. До сих пор карты не доставлены по указанному адресу. На письма не отвечают, персональный менеджер Маслова- работает так,что её работа оставляет желать лучшего. Позор просто. 
Дополняем отзыв. После получения нами топливных карт и их активации- сотрудники несколько дней не могли заправить авто- напомню- деньги на балансе есть. Более того, ППР усложнили доступ в личный кабинет, добавив к паролю СМС-код на телефон. До сих пор менеджер Маслова на письма не отвечает, а дозвониться туда- не реально. Отдельное ""спасибо"" работнику Алине, которая не в состоянии передать информацию сотрудникам о возникших проблемах.",1,yandex
Наталья Ф.,26 декабря 2023,"Отличная компания. Работаем более 10 лет. Отчетные документы предоставляют своевременно и очень информативно, широкая сеть АЗС. Можно подобрать тариф на обслуживание с подходящими условиями. Также есть возможность оформить ОСАГО на автомобили. Отдельное спасибо Анне Моисеенко и Оксане Алимовой за оперативность и помощь в возникающих вопросах.",5,yandex
Алена М,6 мая,"Отвратительная компания, обслуживание 1 тыс 485 руб , без причины снимают . Операторы хамят , личный кабинет вход вечные проблемы. Хорошо что перешли в другую компанию и Вам советую",1,yandex
д пашкин,24 октября 2024,"Добрый день!
Работаем с компанией более 18 мес.
Минусов и претензий нет.
Все чётко настроено по услугам и отчётам для бухгалтерии. Своевременно ответ на запросы.
Обновление информации по новым продуктам и услугам.
Рекомендую.
Дмитрий П. АО ,,Людиновский тепловозостроительный завод,,",5,yandex
Рустик Валерич,13 февраля 2024,"За пять лет с картами Вездеход мы развивались вместе. На данный момент используем дополнительно мойки, покупаем товары на АЗС. Иногда используем такси, очень удобно, что оплата идет с одного счета. Сотрудники компетентны и всегда идут навстречу, что в текущей топливной обстановке положительно влияет на бизнес: и условия пересмотрят в лучшую сторону, и выгодный тариф предложат. Нашему менеджеру Ольге спасибо за постоянную поддержку.",5,yandex
ДРАЙВ ТРЕЙД КОРП,17 октября 2024,"Обходите эту компанию стороной, внимательно читайте условия договора и смотрите на цены за топливо за которое Вы платите, Вас завлекаются скидками на топливо (от рубля от столба), по факту вы за топливо будете переплачивать 2-3 рубля, либо платить процент от заправки в виде обслуживания. Работали 5 лет, но оказывается последние полгода нам по тихой сменили условия. Отказались от обслуживания и перешли работать по картам напрямую с производителями и оператором, что заправлЯет через приложение Заправки.",1,yandex
Денис П.,4 декабря 2024,Выражаю благодарность ведущему менеджеру по продвижению новых продуктов Лилии Потеряйло за ответственную работу и помощь в оформлении полиса ОСАГО. Желаю успехов в работе!,5,yandex
Ильдар Гайнуллин,23 ноября 2024,"С виду и по деятельности огромная компания, которая гарантирует беспроблемную и бесперебойную работу. И отзывы положительные. Но я столкнулся с безразличностью, пофигизмом. Перед тем как заключать с ними договора, изучите все нюансы. Так как в последующем, при возникновение каких либо ситуаций , всем будет пофиг до его решения.",1,yandex
Ageres,23 ноября 2023,"Отличная компания и компетентные сотрудники. Договорённости соблюдаются в полном объёме. Особенно приятно работать с менеджером Елена, всегда на связи, вопросы решаются быстро и качественно.
Так же приятно было работать с Оксаной Лазаревой, надеюсь все сотрудники такие компетентные и отзывчивые как эти люди. Добра вам и процветания.",5,yandex
vl n.,10 апреля,"Сотрудничаем с 2022 года, заправляешься по одной цене, а по факту на 10 процентов дороже, тариф меняют без предупреждения, будьте бдительны у меня лично 6 рублей с литра.",1,yandex
Елена Овчинникова,23 ноября 2023,"Отличная компания. Отличный сервис, всегда вовремя предоставляют отчетные документы, широкая сеть, доступные сервисы по картам мойки, шиномонтаж, сопутствующие товары, кредитная линия. Многофункциональный личный кабинет. Отдельное спасибо Хижняковой Елене за быстрое и четкое решение поставленных задач, приятное общение.",5,yandex
Михаил Дорошинский,4 июня,Отдельное Спасибо Алымовой Оксане за качественную и оперативную помощь при каждом обращении в ППР,5,yandex
Виталий Караулов,16 февраля 2024,"Присоединяюсь ко всем положительным отзывам о данной компании. Работаем по топливным картам ""Вездеход"" более 2-ух лет
Основные плюсы: 
Широкая сеть АЗС
Мобильное приложение и возможность заправиться не выходя из машины
Очень много где можно помыть автомобиль 
Пользуемся услугами для оформления командировки и такси.Рекомендую-это отдельная песня.
Оплата штрафов по ЮЛ. Система сама оповещает и экономит нервы",5,yandex
Дмитрий Ш.,28 мая,Сотрудничаем не так давно с компаний ППР. Все нравится. По АЗС очень хорошие условия.,5,yandex
Ольга Дашевская,30 октября 2024,"Сотрудники отличные и любезные. Но пришло разочарование в услугах. В Ярославской области новые карты оказались бесполезными, очень мало бензоколонок на которых можно заправиться. Почему то старые карты проходили, новые нет. Задумались об не вездеходе, а об картах конкретных брендах бензоколонок.",3,yandex
Анастасия Прошина,6 декабря 2023,"Заключили второй договор с ППР - все сделали оперативно, карты пришли в срок. Есть возможность выбрать тариф с подходящими условиями на интересующих АЗС. Отличная возможность оформить отсрочку платежа, и не переживать, если платеж долго зачисляется. Удобный функционал в личном кабинете. Персональный менеджер всегда сориентирует по всем вопросам, нам повезло с Анной Борисенко.",5,yandex
Инкогнито 5504,6 декабря 2023,"Работать с ППР - прекрасная возможность обслужить автопарк по всем направлениям: оформление страховых полисов; ремонт, шиномонтаж. Для сотрудников компании также есть плюсы, как оформление командировок, оплата такси. По каждой услуге предусмотрены отчетные документы, что позволяет отслеживать все расходы. Присутствует поддержка со стороны персонального менеджера Борисенко Анны. Очень довольны нашим сотрудничеством",5,yandex
семен бутюгин,22 сентября 2024,"Плюсов нет... Отправил работников в командировку, тут ППР деньги не может по выходным..... Оппа.....
Техника стоит, работников не смогли обеспечить..
Зато ППР ---- МОЛОДЕЦ 
Но рынок движется .... уже начали другие рассказывать , как у них построена работа .... И кстати скидка больше ... правда и от этих и от других не считал",1,yandex
Виталий З.,7 октября 2024,"Хорошая компания, удобный сервис обратился за полюсом ОСАГО менеджер Лилия быстро и оперативно все сделала большое ей спасибо",5,yandex
С,27 ноября 2023,"Отличная компания, помимо топлива радует сервис различных услуг. Учет всех возможных расходов связанных с автопарком. Отдельно хочу поблагодарить Ольгу Булгакову, которая всегда приходит на помощь при возникновении нестандартных ситуаций!)",5,yandex
Алексей Н.,22 ноября 2023,"С компанией ППР сотрудничаем уже более 4х лет, за это время не было никакого сожаления об этом плодотворном сотрудничестве, одни самые положительные эмоции. Чем подкупает компания: во-первых, самый большой спектр предлагаемых услуг (по сравнению с другими подобными предприятиями), во-вторых оперативное решение всех возникающих проблемных вопросов, в-третьих хочу дать высокую оценку сотрудникам и поблагодарить их за терпение, внимательность, теплоту общения, душевность, способность быстро вникать в проблемы пользователей ваших услуг. Особые слова благодарности хотелось передать менеджеру Булгаковой Ольге – специалисту с БОЛЬШОЙ буквы, которая мгновенно вникает во все задаваемые вопросы, и помогает даже в выходные дни. Этот человек – достойное лицо компании ППР. В заключении хочется пожелать вам долгих и плодотворных лет процветания, развития, дальнейшего роста (количества сервисов), высокой конкурентоспособности на рынке труда, надежных партнеров. А вашей команде незабываемых, ярких событий в жизни, и неуклонно роста финансового благополучия. СПАСИБО!",5,yandex
Инкогнито 3398,13 февраля 2024,"Отличная компания. Сотрудничаем более трёх лет. За это время только положительный отзыв. Молниеносно реагируют на просьбы, предлагая лучшее решение той или иной проблемы. Самые компетентные сотрудники. Особенную благодарность хотим выразить Ольге Лихачевой за помощь в ситуации в новогодний период, в содействии в максимально быстром решении по кредиту для нашей компании, а также по подбору самого удобного и выгодного для нас тарифа по заправкам.",5,yandex
Дмитрий Альфа Дизель,11 февраля,"Лукавая компашка. Несколько раз обманули и по скидкам и по стоимости. Расторгаюсь. Ложечки нашлись, а осадочек остался.",1,yandex
Юрий Чекмаев,21 марта,"Были проблемы с возвратом средств по безналу. Менеджер Дарья помогла решить вопрос, спасибо большое!",5,yandex
А,15 ноября 2024,"Виктория отличный работник ,всегда поможет во всем разобраться и решить возникшие проблемы, сообщит и поможет разобраться новых услугах .",5,yandex
Шема Меликова,1 апреля,01.04.25 год . ППР молчит .карты их не работают . сотрудники не смогли заправиться. работа организации остановилась .,1,yandex
Р,9 августа 2023,"Отличная компания! Работает все чётко без сбоев, по мимо топлива в приложении много разных, интересных сервисов. Отдельное, большое спасибо сотруднику Кукатовой Алине. Помогла разобратся с каршерингом, точнее разобралась. Желаю Вам удачи!",5,yandex
cappuccino,25 августа 2023,"Хочу выразить огромную благодарность Елене Хижняковой. За четкое, быстрое решение поставленнох задач и приятное общение, считаю, что такими работниками можно гордиться и брать с них пример в работе и культуре общения с клиентами ! Побольше таких сотрудников! Она хороший пример честности и добропорядочности, в чём у меня, и надеюсь у других, были реальные случаи убедиться и сказать ей большое спасибо за это!",5,yandex
Денис,16 октября 2023,"Работали с ППР с 2014г. Сбои в документообороте были всегда. Некоторые вопросы решались месяцами. Но подкупала большая сеть АЗС по всей стране. Но вдруг, при заправке на лукойле, отказ от приема карты вездеход к оплате уже после залива топлива. Никакой информации от ППР об изменениях в обслуживании не поступало! Кроме того, оказывается, с сентября установились дополнительные коэф. на стоимость топлива практически на всех заправках от 2% до 4%. Никто об этом не предупреждал! Но и даже та информация, которая размещена официально, на практике лжива ( заправки ""Газпром по информации ППР не берут комиссию за ДТ, а на практике берут). Очень обидно после стольких лет получить полное безразличие. В кол. центре только общая информация и никакого решения проблем. Будем отказываться и искать другой вариант.",1,yandex
Валентина Савосина,17 октября 2024,Отличная компания! Рекомендую! Огромное спасибо менеджеру Потеряйло Лилии!Сервис на отлично!!!,5,yandex
Дмитрий,6 марта 2024,"Просто перекупы ! Которые заманивают скидками, а потом пользуются моментом и продают с накидками да и большими!! Вот и все!! Никому не рекомендую работать с этой компанией! Все положительные отзывы до того накручены, что смешно читать!! Позвонил сказал , что не буду работать с ними больше, раз так поступают, так еще и 17000 с небольшим еще и денег сняли , какой то информационный сбор! Работали с ППР 2 года! Там только одни обещания!! Очень похоже на ПИРАМИДУ))))",1,yandex
Л,29 августа 2023,"Работаем с компанией ППР 3 года. Отличный сервис, менеджер Мария Болдырева всегда на связи, всегда помогает в сложившейся ситуации. Очень приятно работать. Много дополнительный сервисов.Всем рекомендуем сотрудничать с компанией ППР.",5,yandex
Sleepnaz,10 июня 2024,"Самое простое и удобное, если хотите оптимизировать автопарк. Хорошая служба поддержки, по любым вопросам ответят и помогут. Использую их услуги для своих авто более года, очень сильно упростили мне жизнь.",5,yandex
Татьяна Филина,29 мая 2024,"Около года работаем с топливными картами Вездеход. В начале были вопросы по документам, по личному кабинету, менеджер всегда помогал. Сейчас система налажена. Как бухгалтеру мне очень удобно выгружать отчеты, менять лимиты, следить за расходами. Надеемся на долгосрочное сотрудничество!",5,yandex
myasprodukt m.,16 декабря 2024,"Спасибо команде ППР, удобно , быстро , логично .",5,yandex
Катерина,25 сентября 2023,"Очень жаль, что компания не заботиться о своих клиентах. Сотрудники по номеру 8800 абсолютно не компетентны. У нас заблокировали карты и не могут включить уже 4 дня. Вся работа на производстве остановилась. Каждый раз операторы говорят разную информацию. Складывается впечатление, что сотрудники первый раз видят программу, в которой работают, они не понимают когда крайний срок оплаты перед блокировкой, они не понимают, какую сумму нужно заплатить чтобы система заблокировала. В результате такой не компетентной консультации, нас отключили, а теперь говорят, что включить не могут. Подумайте несколько раз, прежде, чем принимать решение о выборе сотрудничества с данной компанией. Мы очень разочарованы.",1,yandex
N,12 сентября 2023,"Самая широкая сеть, что очень важно, можно обслужиться практически на любой АЗС. Персональный менеджер всегда поможет и все подскажет, большой плюс отсрочка платежа. Рекомендую",5,yandex
Татьяна Х.,6 декабря 2023,"Сотрудничаем с ППР уже в течении нескольких лет🤗
За это время нареканий в работе никогда не было👍
Своевременно предупреждают об изменениях.
Предлагают альтернативные варианты тарифов!!!
Топливо абсолютно устраивает!!!!!
Есть очень много различных сервисов,которые очень удобны в использовании!!!
Отдельно хочу выразить благодарность своему персональному менеджеру-Борисенко Анне,которая оперативно отвечает на звонки и готова помочь в любой ситуации!!!",5,yandex
Юрий М.,5 октября 2023,"Доброго дня! Работаю с данной компанией с 2022 года, по началу были не большие скидки на топливо (в районе 50 копеек с литра) как и обещала менеджер компании Ппр Олеся, а с августа 2023 года наоборот наценка (всё на скринах) после звонка менеджеру и почитав отзывы, понял что Ппр так работает, сначала не большие скидки на начальном этапе работы с ними, а потом наценка при этом без предупреждения и она (наценка только растёт с каждой последующей заправкой ) , а так же услуги такси( так же с наценкой) хотя везде пишут ( ппр) что без наценки. С данной компанией в будущем остановлю работу, так как есть компание у которых взаимовыгодное сотрудничество в отличии с ПРР, да по бизнес карте оплачивать дешевле и нет скрытых платежей (как писали выше в отзовах ). Пока не могу рекомендовать данную компанию.",1,yandex
И,27 апреля 2023,"Отзыв от компании ООО ""АвтопартУнивекс"". Работаем с ППР с 2012 года. Очень удобный личный кабинет. Удобно управлять автопарком, карточки принимают почти на всех заправках не только Москвы и области, но и других регионов. Большой спектр услуг. Удобное отслеживание штрафов. Сегодня получили транспондеры от компании ППР. Это еще один плюс. так как теперь отслеживать баланс стало проще. Хочу особенно выразить благодарность нашему менеджеру Алине Семиякиной. С момента заявки на подключение услуги и подписания доп. соглашения до момента получения транспондера прошло 2 дня. Алина была всегда на связи. Четко объясняла и помогала. ОГРОМНОЕ СПАСИБО. Все оперативно и профессионально. От компании ППР только положительные эмоции. Рекомендую...",5,yandex
Павел Морозов,2 декабря 2023,"Все нравится, очень удобно работать с отсрочкой. Заказываем шины уже не первый сезон. Спасибо Ольге Лихачевой, нашему менеджеру, за оперативную помощь , всем советую 👍👍👍",5,yandex
Ксения Келлерман,24 декабря 2024,"Прекрасный , шустрый специалист, спасибо за работу",5,yandex
Елена,29 ноября 2023,"Отличная организация! Много сервисов, доступный личный кабинет. Индивидуальный подход. Персональный менеджер Елена всегда ответит и оперативно решит любые поставленные задачи.",5,yandex
Фатеева Елена,3 октября 2023,"Серьезная надежная компания! Приятно работать с таким партнером. Грамотные сотрудники всегда готовы оказать помощь. Карты обслуживаются везде. У водителей есть мобилка, они всегда могут найти заправку по пути. Рекомендую к сотрудничеству! Ребята-молодцы!",5,yandex
Алексей Басалаев,13 сентября 2023,"Мало заправок. Никаких скидок. Любая корпоративная карта выгоднее. Берут деньги за обслуживание лицевого счета, поднимают цены.
Но отзыв заставило меня написать не это. Мы работали с ППР, работали по предоплате. Если деньги на счету заканчивались - заправиться было нельзя. Ну мы и перестали заправляться. Спустя несколько месяцев присылают они нам требование - мол, долг 540 рублей. Я говорю - по договору его быть не может ну никак, вы нас в кредит не заправляли. Теперь они передали этот ""долг"" коллекторам из ""МБА Финансы"". Чудики еще те. Ошиблись в биллинге - ну так и скажите, оплачу и всё, не те деньги. Но теперь нет, натравили на меня коллекторов, если я дождусь иска - мба пойдут за вымогательство, а ппр за мошенничество, предоставив им подложные документы. Не рекомендую связываться, по-хорошему потом не расстанетесь.",1,yandex
А,22 апреля 2024,"С компанией ППР работаем давно. В основной массе только положительные отзывы. бывают правда косяки с сервисом отображения и оплата штрафов. Но после обращения к прикреплённому специалисту, проблема решается оперативно. Желаю всех благ и процветания компании.",4,yandex
Сергей Полухин,4 ноября 2024,"После подписания документов на расторжение договора продолжают снимать деньги со счета, после чего не закрывают счет, ссылаясь на задолжность. Снимают деньги за неоказанные услуги!!",1,yandex
Компания Содействие,21 февраля 2024,"В общем - работать не хотят. Работает только колл центр, который безуспешно уточняет информацию и далее никакой информации не выдает. Менеджеры - мертвые души, никого нет и никто не работает, даже в почте никто не отвечает. 

Отзывы восторга на яндексе очень похожи не заказные и все выглядят как реклама. Не тратьте свое время, у сетей автозаправок есть свои топливные карты, а в остальном есть Яндекс.Заправки.",1,yandex
ООО ТРАНССТРОЙ,8 августа 2023,"Наша компания работает с ООО ""Джи Пи Си РУС"" через систему ППР с 2022 года. Менеджеры ООО ""ДПСР"" всегда на связи и все вопросы стараются решить в максимально короткие сроки, ответственные, дружелюбные, внимательные к клиенту. Личный кабинет ППР удобный. Отчеты по заправкам, оплатам и прочим операциям понятные и детализированные. Наш персональный менеджер Хижнякова Елена, делает сотрудничество с ООО ""Джи Пи Си Рус"" плодотворным, легким, комфортным, отвечая на все наши запросы оперативно, грамотно и доброжелательно.",5,yandex
П,18 ноября 2023,"Пользуемся картами уже несколько лет, нареканий в сервисе нет, наш менеджер на любой вопрос находит ответ, приходит на помощь. Мобильное приложение очень удобное, в целом довольны и руководители, и сотрудники.",5,yandex
А,26 января 2023,"Отзыв от лица компании ООО ""Прогресс Транс"": Абсолютно довольны сотрудничеством с компанией ППР. Удобный сервис, отличное обслуживание. Отдельный орден Иванушкиным Екатерине и Анастасии. Комфортно, оперативно, четко! Рекомендуем к сотрудничеству1",5,yandex
Алина Т.,2 декабря 2023,"Сервис на высоком уровне
Несколько лет работаем с ППР. Устраивает широкая сеть и удобный личный кабинет. Отдельно хочу отметить нашего менеджера Ольгу, она помощник во многих вопросах.",5,yandex
