author;date;text;rating;source;brand;sentiment
Наталья;23.07.2022;Три с половиной года сотрудничаем с компанией роснефть. Открыла своё ИП по созданию и доставке вечерних платьев. Постоянные расчёты  и выдача наличных каждому - не для меня. Поэтому оформила каждому по топливной карте от РН - карт. Штат расширяется, новые сотрудники так же получают карты. Опрашивала работников об удобстве карты - никто не жаловался.;4;2gis;РН-Карт;pos
Антон;17.07.2022;Моя компания тесно связана с сетью заправок роснефть. Доставляем стройматериалы в разные города. Заправка - неотъемлемая часть работы. Карты роснефть от РН-карт есть у всех сотрудников. Они выдаются после двух недель работы. Стабильно пользуюсь приложением, слежу за обновлениями и улучшениями. Нареканий в работе нет.;4;2gis;РН-Карт;pos
Богдан;13.07.2022;Я владелец компании по укладке плитки, открыл ее около 8 лет назад. Для профессиональной работы требуется много материалов и инструментов. Пользуемся корпоративными машинами для аккуратной транспортировки. Отдельная должность водителя в компании есть. У нас частые заказы, редко хотя бы 1 из 9 водителей сидит без дела. У водителей имеются карты роснефть от РН-карт. Меня самого устраивает работа с ними, водители так же хорошего мнения. Для меня комфортная работа сотрудников на первом месте. Я могу не сидеть сутками в офисе в ожидании бригады, которая идет отчитываться. Все транзакции вижу в личном кабинете. Сделано очень круто.;4;2gis;РН-Карт;pos
Артем Соколов;08.07.2022;Я занимаюсь грузоперевозками уже 8 лет. Как руководитель(то есть юридическое лицо), могу сказать, что в моей компании процесс работы изменился, дословно перевернулся с ног на голову. Сейчас я не задумываюсь о том, что в конце недели мне нужно будет потратить несколько часов на составление отчета, я просто смотрю готовый отчет в личном кабинете. Не спрашиваю чеки, сам вижу все расходы. Не раздаю деньги, а перечисляю на карты водителям. Есть возможность получать приятные скидки на товары, таким образом, можно немного заниматься экономией. Огромных сохраненных сумм ждать не стоит, но даже немного приятней, чем ничего.;5;2gis;РН-Карт;pos
ERST MEBEL;15.04.2025;Никакой компании никогда не посоветую работать с Ликард. Ни один вопрос ты не решишь быстро и через ЛК. Чтобы колесики закрутились обязательно оставить обращение через горячую линию, перезвонят тебе через 3 дня. Чтобы получить оригиналы документов, новые карты (которые они постоянно меняют) тебе нужно… ещё;1;yandex;Ликард;neg
Наталия А.;14.03.2025;Невозможно решить ни один вопрос, ответа просто нет ни на одно обращение и претензии!!!! Вопрос состоит лишь в том, чтобы получить доступ в личный кабинет и заблокировать карту уволенного сотрудника. Уже 3 недели не можем дождаться результата. Ужасное обслуживание и ужасная компания!!!!!!!;1;yandex;Ликард;neg
Геннадий;03.02.2025;Ужасная контора, никому не советую с ней связываться. Пафоса в сотрудника выше крыши, грамотности минимум, профессионализм почти отсутствует. Имею личный горький опыт по возврату средств. Без русского крепкого слова невозможно выразить работу этой чудо конторы. Бегите от тех кто предложит эти чудо карточки ЛИКАРД.;1;yandex;Ликард;neg
Александр Д.;04.05.2024;ООО «Ликард» является дочерней компанией Лукойла, который позиционирует себя как производитель лучшего топлива в России. Но к сожалению клиентов это далеко не так. Наша компания многократно обращалась по разным причинам в техподдержку и на горячую линию ООО «Ликард» и в итоге ни разу не был решён… ещё;1;yandex;Ликард;neg
Юрий Петров;24.01.2025;С конца декабря не могут настроить личный кабинет. Топливные карты не выпустить. Постоянные шаблонные отписки. Менеджеры некомпетентны. Закрыли с ними договор. Жалко потраченного времени! Я уже давно не сталкивался с таким обслуживанием.;1;yandex;Ликард;neg
Юлия Румянцева;04.10.2024;В компании Ликард специалистом 1 категории работает Алексей Афанасьев, который возомнил себя пупом земли или самим руководителем Лукойл и почему-то решил, что он имеет какую-то особую привилегию общаться с заказчиками, в том числе с крупными бюджетными предприятиями, занимающимися… ещё;1;yandex;Ликард;neg
Олеся;28.05.2024;Ужасно! Никому не совеиую! Только подключила виртуальеую карту и заключила договор, приехала на заправку, утро.. 7:20, хооодно, пошел дождь, на заправке нет козырька, у меня сообщение - виртуальная карта заблокирована! Звлню в помощь, мне говорят - у вас все хорошо, я оператору и диспетчеру обьясняю -… ещё;1;yandex;Ликард;neg
Инкогнито 4448;24.10.2023;Хуже чем эта, топливных компаний нет. Два раза начинали с ними работать, два раза они нас обманывали. Документов от них не дождёшься. Приходится бегать или писать запросы, как будто они царь горы. Тьфу, таких поставщиков топлива как грязи и большинство работает намного лучше их. А уж развод с платными картами это… ещё;1;yandex;Ликард;neg
Юрий Б.;04.04.2024;Постоянно присылают мне свои спам сообщения. Я уже и звонил на горячую линию и писал письмо на бланке компании. Всё равно шлют. Никакой поддержки. Ну а про цены на порядок выше чем у конкурентов вы и так знаете.;1;yandex;Ликард;neg
Алексей Потапов;19.10.2022;Ужасная компания. Сотрудники просто ужас. Евгения Андреевна Пичугина специалист Управления тендерных продаж Общества с ограниченной ответственностью «ЛУКОЙЛ-Интер-Кард» (ООО «ЛИКАРД»)… ещё;1;yandex;Ликард;neg
В;22.04.2022;Отличная компания, отзывчивый персонал и индивидуальный подход к потребностям каждого клиента.;5;yandex;Ликард;pos
А Никола;04.11.2021;Ликард - полный развод, программа антилояльности клиентов. Как только вы почти приблизились к уровню выше золотого, вдруг система временно недоступна и вам при заправке не начисляют баллов, которых не хватает для перехода на следующий уровень… ещё;1;yandex;Ликард;neu
Г;12.06.2021;Был один раз на карьерном мероприятии. Красивое здание, приветливые люди. Вкусная еда в столовой. Из окон открывается прекрасный вид на Москву.;5;yandex;Ликард;neg
Rom@n;30.10.2021;Современно, с любовью к клиенту. Профессионалы своего дела. Очень приятно иметь контакт с этим подразделением. На уровне, каждая мелочь иикажлая деталь. Рекомендую;5;yandex;Ликард;pos
Кымбат Атамкулова;22.01.2023;Выбирайте только Ликард. Топлива самого лучшего качество🫰;5;yandex;Ликард;neu
Давид Давид;05.07.2022;Списали деньги со счета возвращать отказываются !Обращения игнорируют,служба поддержки говорит заученными фразами и никакой конкретики.Ужас;1;yandex;Ликард;neg
Софья;23.08.2022;Все отлично! Вопросов во взаимодействии не возникает. Рекомендую;5;yandex;Ликард;pos
А;27.09.2021;Покупаем топливо через ЛИКАРД уже 5 лет, качество топ, сервису есть куда рости. Цена +- сопоставима с рынком, с учетом покрытия сети самый лучший вариант. Рекомендую.;5;yandex;Ликард;pos
Станислав Тишкин;18.09.2022;Всё круто.Выдали карту за 5 минут.Очень милые сотрудники;5;yandex;Ликард;pos
Павел Ч.;22.10.2022;Это та организация, что олицетворяет движение передового на АЗС Компании!;5;yandex;Ликард;pos
Илья;21.11.2021;Чётко и быстро, обслужили, документы оперативно подготовили. Сотрудничать одно удовольствие!;5;yandex;Ликард;pos
Виктор Козырь;26.11.2021;"Компания работает над тем, чтобы люди были рады; всегда получали высокий сервис и уют на АЗС ЛУКОЙЛ";5;yandex;Ликард;pos
vano-kruglov;20.09.2022;Получал топливные карты. Все быстро, без заминок;5;yandex;Ликард;neu
Alexwww1975;16.08.2021;Иногда бывают задержки , но в целом очень удобно и практично.;4;yandex;Ликард;neu
Дмитрий Мальков;28.08.2022;Прекрасный офис, чисто, красиво.;5;yandex;Ликард;pos
Алексей;16.10.2022;Лучшая заправка в России. Жаль что одна такая(((;5;yandex;Ликард;pos
Раис Гафуров;23.07.2022;Обслужили быстро и качественно!!!;5;yandex;Ликард;pos
Вячеслав .;05.07.2023;Списывают с Вашего счёта сколько им захочется. Не рекомендую никому их «услуги».;1;yandex;Ликард;neg
maxproject77854 m.;10.08.2021;Отвратительная компания, операторы отвечают заученными фразами, никакой конкретики. Письменные обращения игнорируют.;1;yandex;Ликард;neg
kalliera;09.12.2020;Может, конечно, и высокотехнологично, но шаг от регламента и вы начинаете стучаться в закрытую дверь. Чувство, что по телефону общаешься в токсичными роботами.;1;yandex;Ликард;neu
Павел Чебаненко;20.02.2021;Карты ЛИКАРД это выгода, которая рядом всегда! И главное надёжно и постоянно!;5;yandex;Ликард;neu
Ольга;02.06.2021;Заказала топливные карты через сайт компании, приехала в офис и получила их за 10 минут.;5;yandex;Ликард;pos
Михаил Юшманов;20.11.2022;Отличное место;5;yandex;Ликард;pos
Olga_Antuan_Bogatova_Ego;19.04.2021;Ответственная организаций с оперативной поддержкой клиентов.;5;yandex;Ликард;pos
A;11.08.2021;Отличная компания, но что ещё добавит :)));5;yandex;Ликард;neu
СВФ;16.11.2021;Программа лояльности - отстой. Пыль в глазза.;1;yandex;Ликард;neg
Василий;06.08.2020;Переехали в бывший офис Ритэка. В компании приятный коллектив. Привет им;5;yandex;Ликард;pos
Николай;02.12.2021;Заправляю здесь свой самокат;5;yandex;Ликард;pos
LILIYA KNYAZEVA;22.05.2022;Отличный офис;5;yandex;Ликард;pos
SAZ81;14.01.2022;Отличная, организация;5;yandex;Ликард;pos
Евгений К.;06.06.2021;Красивое старинное здание;5;yandex;Ликард;pos
Вадим Кардашов;04.10.2021;Старое здание, старые люди.;4;yandex;Ликард;neu
Артём Стрижевский;18.06.2020;Удобное расположение в центре города;5;yandex;Ликард;neu
Роман;01.11.2021;Карта не работает, Федун за все ответит. Fedunout;1;yandex;Ликард;neg
Николай;31.08.2021;нормальное место;3;yandex;Ликард;neu
Юрий Сафонов;18.06.2020;Высоко технологичная, современная компания.;5;yandex;Ликард;pos
Sh Н;19.08.2021;Блин с проездами очень тяжело.;3;yandex;Ликард;neu
ХУВИ ЗАЙЦЕВ;26.08.2021;ну такое;1;yandex;Ликард;neu
Наталия Величкова;18.08.2020;К сожаление нет парковки;5;yandex;Ликард;neu
Ульяна Мирославская;20.02.2025;Быстрое и компетентное обслуживание! Грамотные менеджеры!;5;2gis;Газпромнефть;pos
Транспорт-Сконто _;19.02.2021;"На протяжении нескольких лет работаем с компанией ""Газпромнефть"" по безналичному расчёту по топливным картам. Большое спасибо всему коллективу компании и лично специалисту который работает с нами Оганесян Лусине за оперативное реагирование на обращения и внимательное и доброжелательное отношение к клиенту.

ООО ""Транспорт-Сконто""
Вячеслав Трунаев.";5;2gis;Газпромнефть;pos
Sergeeroman;06.08.2023;Все быстро и без очередей. Однажды не смог получить топливную карту, технический сбой. Но, на следующий день ее доставил курьер. Молодцы;4;yandex;Газпромнефть;pos
О;17.05.2023;Офис Газпромнефть, все чинно и благородно.;5;yandex;Газпромнефть;pos
Секретный вид;10.07.2022;Я остаюсь при своём мнении уже несколько лет. Меня полностью устраивает качество работы компании Роснефть. Ближе я познакомился с ней тогда, когда открыл компанию по доставке и сборке мебели. Все водители обзавелись топливными картами от РН-карт. Проблем с началом использования не возникало… ещё;5;yandex;РН-Карт;pos
Мелисса Милано;05.09.2019;Обширная компания с неплохой сетью заправок. На сайте есть возможность заказать виртуальные топливные карты с безналичным расчётом. Всю отчётность направляют электронно. Плюс за удобство и доступность.;5;yandex;РН-Карт;neu
Marival;18.03.2020;Не знаю, как для личного пользования, но для юрлиц удобно выдавать водителю, чтобы заправлялся и по итогу оплачивать расходы;5;yandex;РН-Карт;neu
Aleksey Suslin;17.09.2018;"Компания, которая занимается процессингом топливных карт ""Роснефть"". То есть через эти карты водители компаний могут ездить по заправкам и не использовать наличные компании.";5;yandex;РН-Карт;neu
Алексей;30.12.2018;Коипания по предоставлению услуг безналичногг расчета за топливо для юрлиц;4;yandex;РН-Карт;neu
ХСВ;05.06.2019;Хорошая Компания.;5;yandex;РН-Карт;pos
Денис Васин;18.03.2025;Не рекомендую. Московский офис сидит в подвальном помещении, окна с видом на солнечный свет только у руководства. Столы и стулья старые, с потолка протечка, поскольку это бывший цех, то все прелести выхлопных газов из соседнего гаража.;1;yandex;РН-Карт;neg
Андрей Буланов;15.11.2022;Обращался за топливной картой для Роснефти, всё быстро сделали, поддержка на достойном уровне. Не первый год занимаюсь перевозками, вообще уже чем-то трудно прям удивить. Отзывы вообще не так уж часто оставляю, только если либо сильно накосячить или сильно в хорошем смысле удивить. Заказ карты для… ещё;5;yandex;РН-Карт;pos
Евгений Петров;13.02.2023;Приезжал за топливной картой Роснефть. Уютная зона ожидания. Персонал отзывчивый. Хорошее обслуживание… ещё;5;yandex;РН-Карт;pos
Владимир Кочергин;10.06.2023;Бензин не дорогой, заправок очень много после поглощения бипи стало ещё больше красивых удобных заправок;5;yandex;РН-Карт;neu
Си Ян;13.05.2022;"Менеджмент организации на нижайшем уровне...перед выездом заранее уточнила готовность топливных карт. Мне подтвердили, сказали можете ехать! Приехала в 16:40 в пятницу, при этом на сайте компании написано что рабочий день до 16:45. Сперва на рецепшн ""подлетела"" некая возмущенная сотрудница со словами: ""вы… ещё";1;yandex;РН-Карт;neg
Роман Торцев;09.11.2022;Оформили карты, оперативной работой сотрудников доволен. Карты экономят время на запас и есть небольшая выгода.;5;yandex;РН-Карт;pos
Владимир Поликашев;29.10.2022;Организация, которая покрывает большую часть проблем с топливом как для транспортной компании. За все время сотрудничества, а это около 5, не было ни одной проблемы. Персонал очень отзывчивый и приятный. Всем транспортным компаниям рекомендую;5;yandex;РН-Карт;pos
Денис;14.11.2022;Очень трудно зайти.... Вход с правой стороны;5;yandex;РН-Карт;neu
Денис;12.05.2022;"Парковаться негде, персонал как сонные мухи, работают ""спустя рукава"". Добиться от них чего-то конечно же можно, но очень трудозатратно.";3;yandex;РН-Карт;neg
Женя;27.04.2022;Расположение, персонал, качество услуг, как будто из одного села приехали.;1;yandex;РН-Карт;neg
Денис Д.;30.04.2024;Все на уровне.персонал знает свою работу.все документы к моему приезду были уже распечатаны.Из минусов:нет парковки для клиентов бизнес-центра,только платная,городская парковка.;4;yandex;РН-Карт;pos
Елена И.;20.04.2020;Очень хороший коллектив привлечения и сопровождения клиентов в Северо-Западном филиале, всегда доброжелательно ответят на все вопросы и помогут в решении сложных вопросов. Минус -довольно трудно дозвониться. Но первые плюсы, погашают один минус. Советую работать с данной организацией, тем… ещё;5;yandex;РН-Карт;pos
Геннадий Смирнов;24.09.2021;Бесит парковка! Вернее полное её отсутствие! Если собрались сюда ехать, готовьтесь кружить по Измайловскому в поисках места. Или вставать вторым рядом. И думать , весь визит в компанию, что бы вас не эвакуировали!!! Всем крепких нервов!;3;yandex;РН-Карт;neg
Олег Дьяконов;21.08.2021;Отличный персонал,ответят на любые вопросы.работают профессионально;5;yandex;РН-Карт;pos
Oleg Pilipchuk;23.08.2020;Роснефть - северо-задный Офис, с парковкой поблизости беда;5;yandex;РН-Карт;neu
Natali;15.07.2020;Внимательные к клиентам,хорошее обслуживание.;5;yandex;РН-Карт;pos
Константин;16.02.2021;Контора полное г....в принципе как и их топливо. Отношение к сотрудникам наплевательское.;1;yandex;РН-Карт;neg
Максим;31.03.2020;Парковка платная. В рабочее время сложно найти место для машины.;3;yandex;РН-Карт;neu
Алекс Гол;18.09.2019;реализация топливных карт данной корпорации;3;yandex;РН-Карт;neu
Михаил Иванцов;30.03.2023;Отличное начало для перевода всей работы в безнал. Элементарное использование и многофункциональность - лучшее сочетание и это точно про карту от РН-карт.;5;2gis;РН-Карт;pos
Matvey Krysanov;15.12.2022;У меня о Роснефть только хорошие впечатления. Карты оформили быстро, а мне теперь удобно отслеживать все действия в личном кабинете и контролировать лимит.;5;2gis;РН-Карт;pos
andreev_lekha_1979_11_3;31.10.2022;Достаточно давно использую РН-Карт и не заметил для себя никаких недостатков. Очень удобно изучать все автоматизированные отчеты, денежные средства зачисляются быстро. Также устраивают тарифные планы, которые можно подобрать в зависимости от размера бизнеса.;5;2gis;РН-Карт;pos
Андрей;17.10.2022;Оформил карту на свой небольшой автопарк и не жалею. Система удобная, картами легко управлять, а экономия по тарифу выходит существенная. Сложностей не бойтесь, приложение, через которое ТК работает, довольно простое, с ним разберётся каждый. Полностью отказаться от налички это действительно удобно, причём как мне, так и водителям.;4;2gis;РН-Карт;pos
wentgunquifin1976;25.09.2022;Оставлю положительный отзыв, потому что не нашел недостатков за долгий период использования. Вся информация в приложении представлена в деталях, смотреть удобно, счет пополнять быстро. Я руководитель в компании по доставке и установке сантехники. Пользуемся картами регулярно, весь штат оценил.;4;2gis;РН-Карт;pos
riabkov_maksim_1983_13_8;13.09.2022;Мое субъективное мнение - карта оправдывает себя на все 100. Есть, пить не просит. Приложение сделано удобно, функции подобраны грамотно, нет всякого бреда. Отличное начало для перевода всей работы в безнал. Элементарное использование и многофункциональность - лучшее сочетание и это точно про карту от РН-карт.;5;2gis;РН-Карт;pos
Олег Гордон;11.09.2022;Я рад, что карту не забрасывают, над ней работают и модернизируют как только могут. Я картой доволен, как и большинство людей. Удобная, практична. Рн-карт могу похвалить за оперативность и грамотное обслуживание. Для меня она очень полезна(владелец компании по доставке тортов).;5;2gis;РН-Карт;pos
Денис Поляков;28.08.2022;Сравнить топливную карту от РН-карт, к сожалению, мне не с чем. Я пользуюсь ей уже долгие 5 лет. Работает исправно, в приложение нет - нет да что-то добавят. Карту оформлял на всех сотрудников моей компании по доставке мебели. Оформлял 5 лет назад, но, что странно, карта не потеряла своей актуальности.;5;2gis;РН-Карт;neu
Mikhail Lop;24.08.2022;Я доволен топливной картой от РН-карт. Мы с ней, так сказать, через многое прошли. Я владелец компании по доставке продуктов и пользуюсь картами роснефть все работники в моем подчинении. Круто, что компании не все равно на преданных клиентов. Одни плюсы!;5;2gis;РН-Карт;pos
Максим;22.08.2022;У меня своя компания по чистке ковров. Хлопать ковры на заднем дворе уже не можно, и чистка пользуемся большой популярностью. Мы не работаем на личных автомобилях, только на корпоративных. В штате есть 15 чистильщиков и 6 водителей. У последних есть карты от РН-карт. Я завел их по совету приятеля. Признаться, я благодарен ему за это. Карта не требует вложений, нужно только подписать договор с РН-карт и все. Есть возможность получать скидки, следить за расходами, получать готовые отчеты и многое другое. Для водителей предусмотрены специальные плюшки. Часто выходят обновления для приложения. С годами работа только улучшилась.;5;2gis;РН-Карт;pos
Тимур;11.08.2022;С напарником открыли свою компанию по доставке продуктов. Он предложил оформить топливные карты на всех сотрудников. Это случилось через 3 года после открытия. Я с удовольствием поддержал, потому что тянуть все на себе было очень тяжело. РН-карт удивили оперативностью в работе. Карты выдали через 3 дня после подписания документов. Да и в целом компания стала расти быстрее, потому что у нас появилось время работать над улучшением. Может в будущем найду недостатки какие-нибудь, но сейчас получаем только помощь от нее.;5;2gis;РН-Карт;neu
Дмитрий Смолин;30.07.2022;Круто, что многие люди действительно тратят свое время на написание отзывов про определенный продукт. Мне это очень помогло несколько лет назад, когда я выбирал себе компанию, от которой хочу завести топливные карты всем работникам. У меня своя компания по доставке пиццы. Иметь постоянных доставщиков гораздо приятнее и надежнее, чем вечно доверять посторонним людям. Карты от РН-карт удобны не только мне, но и для водителей тоже есть много функций, таких как карта с АЗС, оплата из салона, легкое отслеживание расходов. Для меня автоматизированные отчеты, быстрое пополнение счета и детальные транзакции.;4;2gis;РН-Карт;pos
